rank_number,game_name,Platform,year_realse,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1131,Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.7,0.5,0.3,0.1,1.6
1141,Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.8,0.4,0.3,0.1,1.6
1154,F-1 World Grand Prix,N64,1998,Racing,Video System,0.5,1,0.1,0.1,1.6
1156,Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.7,0.5,0.3,0.1,1.6
1163,Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,0.6,0.4,0.5,0.1,1.6
1164,Devil May Cry 4,PS3,2008,Action,Capcom,0.6,0.5,0.3,0.2,1.6
1167,SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.9,0.4,0.1,0.2,1.6
1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.9,0.3,0.3,0.1,1.6
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.6,0.4,0.4,0.1,1.6
1182,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.2,0.1,1.2,1.6
1186,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.2,0.6,0.5,0.3,1.6
1191,Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.6,0.4,0.3,0.2,1.6
1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.7,0.4,0.4,0.1,1.6
1200,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.8,0.4,0.2,0.1,1.6
1206,Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.5,0.2,0.2,1.6
1209,Mario Party 10,WiiU,2015,Misc,Nintendo,0.7,0.5,0.2,0.1,1.6
1211,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.7,0.4,0.3,0.1,1.5
1212,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.7,0.2,0.5,0.1,1.5
1213,Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.8,0.4,0.1,0.2,1.5
1229,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.5,0.2,0.1,1.5
1253,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,1,0.3,0.1,0.1,1.5
1254,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.6,0.6,0.1,0.2,1.5
1255,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.7,0.5,0.2,0.2,1.5
1260,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.2,0.1,0.1,0.2,1.5
1263,Sonic CD,SCD,1993,Platform,Sega,1,0.4,0.1,0.1,1.5
1265,Dead Rising 2,X360,2010,Action,Capcom,0.8,0.5,0.1,0.1,1.5
1273,Banjo-Tooie,N64,2000,Platform,Nintendo,0.8,0.4,0.3,0.1,1.5
1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.4,0.7,0.3,0.1,1.5
1279,Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.5,0.4,0.5,0.1,1.5
1280,Nintendo World Cup,NES,1990,Sports,Nintendo,0.3,0.5,0.7,0.1,1.5
1288,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.6,0.6,0.1,0.3,1.5
1289,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.7,0.4,0.1,0.2,1.5
1293,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.5,0.4,0.4,0.2,1.5
1294,Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.7,0.2,0.5,0.1,1.5
1299,Xenogears,PS,1998,Role-Playing,SquareSoft,0.3,0.2,0.9,0.1,1.5
1313,Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.5,0.7,0.1,0.3,1.5
1316,LEGO City Undercover,3DS,2013,Platform,Nintendo,0.5,0.8,0.1,0.1,1.5
1317,Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,0.4,0.5,0.5,0.1,1.5
1323,Resident Evil: Outbreak,PS2,2003,Action,Capcom,0.5,0.4,0.5,0.1,1.5
1339,Far Cry 4,PS3,2014,Shooter,Ubisoft,0.3,0.8,0.1,0.2,1.4
1343,Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.3,0.7,0.1,0.3,1.4
1359,The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,0.9,0.2,0.2,0.1,1.4
1365,Resident Evil (Remake),GC,2002,Action,Capcom,0.6,0.4,0.4,0.1,1.4
1367,Tomb Raider (2013),PS4,2014,Action,Square Enix,0.5,0.6,0.1,0.3,1.4
1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.4,0.5,0.3,0.3,1.4
1376,Metroid: Other M,Wii,2010,Action,Nintendo,0.9,0.3,0.1,0.1,1.4
1386,Sonic Advance 3,GBA,2004,Platform,THQ,0.7,0.5,0.1,0.1,1.4
1392,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.3,0.4,0.5,0.1,1.4
1394,Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix,0.5,0.6,0.1,0.2,1.4
1397,Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,0.2,0.2,0.9,0.1,1.4
1404,Bravely Default: Flying Fairy,3DS,2012,Role-Playing,Nintendo,0.5,0.3,0.5,0.1,1.4
1407,Persona 4: Golden,PSV,2012,Role-Playing,Atlus,0.5,0.3,0.4,0.2,1.4
1408,Dead Rising 2,PS3,2010,Action,Capcom,0.4,0.6,0.2,0.2,1.4
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.5,0.6,0.1,0.2,1.4
1416,Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.2,0.7,0.2,0.3,1.4
1432,Yoshi's New Island,3DS,2014,Platform,Nintendo,0.5,0.5,0.3,0.1,1.4
1436,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.8,0.3,0.1,0.1,1.4
1438,F1 2010,PS3,2010,Racing,Codemasters,0.3,0.8,0.1,0.3,1.4
1443,Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.6,0.6,0.1,0.1,1.4
1444,Alan Wake,X360,2010,Action,Microsoft Game Studios,0.7,0.5,0.1,0.1,1.4
1445,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.8,0.4,0.1,0.2,1.4
1449,Devil May Cry 4,X360,2008,Action,Capcom,0.8,0.3,0.1,0.1,1.4
1456,The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,0.7,0.4,0.1,0.2,1.4
1458,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.8,0.1,0.4,0.1,1.3
1470,Rage,PS3,2011,Shooter,Bethesda Softworks,0.5,0.6,0.1,0.2,1.3
1480,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.4,0.4,0.3,0.2,1.3
1483,Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.2,0.6,0.1,1.3
1487,Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.4,0.4,0.2,1.3
1489,Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.5,0.4,0.2,0.2,1.3
1496,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,0.8,0.3,0.1,0.2,1.3
1504,Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.7,0.4,0.1,0.1,1.3
1517,Crysis 2,PS3,2011,Action,Electronic Arts,0.5,0.6,0.1,0.2,1.3
1519,Saints Row IV,PS3,2013,Action,Deep Silver,0.6,0.4,0.1,0.2,1.3
1525,Digimon World,PS,1999,Role-Playing,Namco Bandai Games,0.6,0.4,0.3,0.1,1.3
1528,Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.6,0.5,0.1,0.1,1.3
1538,Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.7,0.2,0.2,0.1,1.3
1543,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.5,0.5,0.2,0.2,1.3
1550,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.5,0.4,0.4,0.1,1.3
1552,Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.5,0.6,0.1,0.2,1.3
1553,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.6,0.4,0.2,0.1,1.3
1557,Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.4,0.3,0.5,0.1,1.3
1565,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.5,0.4,0.3,0.1,1.3
1569,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.4,0.3,0.5,0.1,1.3
1575,Final Fantasy IV,DS,2007,Simulation,Square Enix,0.5,0.1,0.6,0.1,1.3
1576,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.6,0.4,0.1,0.1,1.3
1602,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.3,0.2,0.7,0.1,1.2
1605,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.4,0.5,0.1,0.3,1.2
1608,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.2,0.2,0.8,0.1,1.2
1614,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.6,0.1,0.2,1.2
1627,Bayonetta,PS3,2009,Action,Sega,0.4,0.4,0.2,0.2,1.2
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.4,0.5,0.2,0.2,1.2
1642,F1 2011,PS3,2011,Racing,Codemasters,0.1,0.8,0.1,0.3,1.2
1646,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.6,0.3,0.3,0.1,1.2
1652,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.6,0.4,0.1,0.1,1.2
1662,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.3,0.5,0.3,0.1,1.2
1684,Pok̩Park Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.6,0.2,0.4,0.1,1.2
1687,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.4,0.4,0.4,0.1,1.2
1689,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.6,0.4,0.2,0.1,1.2
1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.1,0.8,0.1,0.2,1.2
1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega,0.2,0.6,0.3,0.1,1.2
1704,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.5,0.3,0.3,0.1,1.2
1708,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.5,0.3,0.4,0.1,1.2
1712,Mario Tennis,GB,2000,Sports,Nintendo,0.5,0.2,0.4,0.1,1.2
1725,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.3,0.2,0.1,1.2
1734,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.2,0.1,0.8,0.1,1.2
1745,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.5,0.3,0.3,0.2,1.2
1749,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.4,0.3,0.4,0.1,1.2
1759,Rocksmith,PS3,2011,Misc,Ubisoft,0.5,0.4,0.1,0.2,1.2
1766,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.6,0.3,0.1,0.2,1.2
1769,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.4,0.5,0.1,0.2,1.2
1776,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.8,0.2,0.1,0.1,1.2
1783,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.5,0.3,0.4,0.1,1.1
1785,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.4,0.3,0.3,0.1,1.1
1787,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.3,0.2,0.7,0.1,1.1
1804,ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.5,0.4,0.1,0.2,1.1
1808,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.3,0.4,0.4,0.1,1.1
1815,Yakuza 3,PS3,2009,Action,Sega,0.2,0.2,0.6,0.1,1.1
1823,Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.4,0.3,0.3,0.2,1.1
1824,Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.4,0.1,0.2,1.1
1845,Pikmin 3,WiiU,2013,Strategy,Nintendo,0.5,0.3,0.3,0.1,1.1
1846,Legend of Mana,PS,1999,Role-Playing,SquareSoft,0.2,0.1,0.7,0.1,1.1
1852,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.5,0.3,0.2,0.1,1.1
1871,Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.3,0.2,0.5,0.1,1.1
1878,Virtua Fighter 5,PS3,2007,Fighting,Sega,0.3,0.5,0.1,0.2,1.1
1892,Endless Ocean,Wii,2007,Adventure,Nintendo,0.4,0.5,0.1,0.1,1.1
1902,Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.5,0.3,0.2,0.1,1.1
1911,LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.5,0.4,0.1,0.1,1.1
1917,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.5,0.4,0.1,0.2,1.1
1929,Super Princess Peach,DS,2005,Platform,Nintendo,0.7,0.1,0.2,0.1,1.1
1931,SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.7,0.2,0.1,0.1,1.1
1933,F1 2012,PS3,2012,Racing,Codemasters,0.1,0.6,0.1,0.3,1.1
1936,Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.2,0.1,0.7,0.1,1.1
1950,Sleeping Dogs,PS3,2012,Action,Square Enix,0.3,0.5,0.1,0.2,1.1
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.4,0.4,0.1,0.2,1.1
1979,Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.5,0.1,0.2,1.1
1987,Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,0.2,0.1,0.7,0.1,1.1
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.3,0.4,0.3,0.1,1
1995,Tales of Destiny,PS,1997,Role-Playing,Namco Bandai Games,0.1,0.1,0.8,0.1,1
1998,Mega Man X4,PS,1996,Action,Virgin Interactive,0.5,0.3,0.2,0.1,1
2002,F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.4,0.2,0.4,0.1,1
2008,Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.5,0.1,0.4,0.1,1
2031,ZombiU,WiiU,2012,Action,Ubisoft,0.5,0.4,0.1,0.1,1
2034,Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games,0.3,0.2,0.5,0.1,1
2043,Bayonetta 2,WiiU,2014,Action,Nintendo,0.3,0.3,0.1,0.3,1
2047,Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.7,0.2,0.1,0.1,1
2052,Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.1,0.1,0.7,0.1,1
2058,Breath of Fire III,PS,1997,Role-Playing,Capcom,0.3,0.2,0.5,0.1,1
2060,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.2,0.4,0.1,1
2076,Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.5,0.3,0.1,0.2,1
2084,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.5,0.1,0.4,0.1,1
2090,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.4,0.3,0.1,0.2,1
2099,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.2,0.4,0.1,1
2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.5,0.3,0.2,0.1,1
2117,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.6,0.1,0.3,0.1,1
2120,Sniper Elite V2,PS3,2012,Shooter,505 Games,0.4,0.4,0.1,0.2,1
2123,Tom Clancy's Splinter Cell: Blacklist,PS3,2013,Action,Ubisoft,0.3,0.4,0.1,0.2,1
2129,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.4,0.3,0.2,0.1,1
2148,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.2,0.3,0.3,0.2,1
2151,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.4,0.3,0.3,0.1,1
2162,Lost Planet 2,PS3,2010,Shooter,Capcom,0.3,0.3,0.2,0.1,1
2166,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012,Shooter,Ubisoft,0.4,0.3,0.1,0.1,1
2168,Shinobi,PS2,2002,Platform,Sony Computer Entertainment,0.4,0.3,0.2,0.1,1
2171,PilotWings Resort,3DS,2011,Simulation,Nintendo,0.4,0.4,0.1,0.1,1
2172,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.3,0.3,0.2,0.2,1
2183,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.3,0.2,0.5,0.1,1
2184,Kessen,PS2,2000,Strategy,Electronic Arts,0.3,0.2,0.4,0.1,1
2190,Evolve,PS4,2015,Shooter,Take-Two Interactive,0.4,0.4,0.1,0.2,1
2195,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.2,0.4,0.2,0.1,1
2199,Star Fox 64 3D,3DS,2011,Shooter,Nintendo,0.5,0.3,0.1,0.1,0.9
2206,Mario Tennis Open,3DS,2012,Sports,Nintendo,0.3,0.3,0.3,0.1,0.9
2208,Bayonetta,X360,2009,Action,Sega,0.5,0.3,0.1,0.1,0.9
2211,SaGa Frontier 2,PS,1999,Role-Playing,SquareSoft,0.1,0.1,0.7,0.1,0.9
2214,The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.5,0.3,0.1,0.1,0.9
2217,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.2,0.1,0.6,0.1,0.9
2228,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.3,0.2,0.4,0.1,0.9
2244,Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.2,0.2,0.1,0.9
2248,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.3,0.2,0.1,0.9
2266,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.3,0.1,0.5,0.1,0.9
2267,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.3,0.4,0.1,0.1,0.9
2271,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment,0.1,0.1,0.7,0.1,0.9
2272,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.5,0.3,0.1,0.1,0.9
2274,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.2,0.5,0.1,0.2,0.9
2279,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.4,0.2,0.3,0.1,0.9
2282,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.4,0.3,0.2,0.1,0.9
2303,We Ski & Snowboard,Wii,2008,Sports,Atari,0.4,0.3,0.2,0.1,0.9
2308,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.2,0.1,0.6,0.1,0.9
2310,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.3,0.4,0.1,0.2,0.9
2341,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.2,0.1,0.6,0.1,0.9
2345,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.2,0.1,0.5,0.1,0.9
2350,Wii Fit U,WiiU,2013,Sports,Nintendo,0.4,0.2,0.2,0.1,0.9
2356,Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.4,0.3,0.1,0.1,0.9
2364,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.2,0.3,0.1,0.9
2367,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.5,0.2,0.1,0.1,0.9
2370,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.3,0.3,0.1,0.2,0.9
2372,Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.3,0.3,0.1,0.1,0.9
2375,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.1,0.1,0.6,0.1,0.9
2386,Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.4,0.3,0.1,0.1,0.9
2390,Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.4,0.3,0.1,0.1,0.9
2404,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.1,0.9
2409,Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.2,0.5,0.1,0.9
2416,The World Ends With You,DS,2007,Role-Playing,Square Enix,0.5,0.1,0.2,0.1,0.9
2423,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.2,0.3,0.2,0.1,0.9
2428,Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.5,0.2,0.1,0.1,0.9
2437,Street Fighter Alpha 2,PS,1996,Fighting,Virgin Interactive,0.1,0.1,0.6,0.1,0.9
2451,Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.3,0.3,0.2,0.1,0.9
2456,Golden Sun: Dark Dawn,DS,2010,Role-Playing,Nintendo,0.6,0.1,0.1,0.1,0.8
2458,Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.4,0.2,0.1,0.1,0.8
2461,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.4,0.3,0.1,0.1,0.8
2465,Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.3,0.1,0.1,0.8
2469,Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.4,0.2,0.1,0.1,0.8
2474,Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.2,0.2,0.4,0.1,0.8
2478,Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.3,0.3,0.1,0.1,0.8
2483,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.2,0.2,0.4,0.1,0.8
2484,Dynasty Warriors 2,PS2,2000,Action,THQ,0.2,0.2,0.3,0.1,0.8
2489,FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,0.3,0.2,0.3,0.1,0.8
2494,Mega Man Legends,PS,1997,Adventure,Capcom,0.4,0.3,0.1,0.1,0.8
2502,Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.4,0.2,0.1,0.1,0.8
2505,Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.3,0.3,0.1,0.1,0.8
2513,Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.3,0.1,0.1,0.8
2520,DmC: Devil May Cry,PS3,2013,Action,Capcom,0.2,0.3,0.2,0.1,0.8
2521,Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.4,0.2,0.1,0.1,0.8
2537,Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.3,0.3,0.1,0.2,0.8
2545,Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.1,0.1,0.6,0.1,0.8
2560,Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,0.4,0.3,0.1,0.1,0.8
2575,Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.1,0.3,0.2,0.2,0.8
2583,Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.4,0.2,0.1,0.1,0.8
2585,Resident Evil: Revelations,PS3,2013,Action,Capcom,0.1,0.3,0.2,0.1,0.8
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo,0.4,0.2,0.1,0.1,0.8
2597,pro evolution soccer 2011,PSP,2010,Sports,Konami Digital Entertainment,0.1,0.3,0.3,0.2,0.8
2613,Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.3,0.2,0.2,0.1,0.8
2615,Armored Core 2,PS2,2000,Simulation,Ubisoft,0.3,0.2,0.2,0.1,0.8
2617,Ghost Squad,Wii,2007,Shooter,Sega,0.4,0.2,0.1,0.1,0.8
2626,Personal Trainer: Walking,DS,2008,Sports,Nintendo,0.2,0.3,0.2,0.1,0.8
2628,PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.3,0.2,0.3,0.1,0.8
2644,Tetris Party Deluxe,DS,2010,Puzzle,Nintendo,0.3,0.3,0.1,0.1,0.8
2645,Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.1,0.4,0.1,0.1,0.8
2669,Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.2,0.1,0.3,0.1,0.8
2673,Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.4,0.2,0.1,0.1,0.8
2689,Formula 1,PS,1996,Racing,Psygnosis,0.2,0.1,0.4,0.1,0.8
2696,Street Fighter Alpha: Warriors' Dreams,PS,1995,Fighting,Virgin Interactive,0.2,0.1,0.4,0.1,0.8
2699,Lost Planet 2,X360,2010,Shooter,Capcom,0.4,0.2,0.1,0.1,0.8
2700,SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.4,0.2,0.1,0.1,0.8
2703,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.1,0.4,0.1,0.1,0.8
2719,Marvel vs. Capcom 2: New Age of Heroes,PS2,2002,Fighting,Capcom,0.3,0.2,0.1,0.1,0.8
2727,Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.2,0.4,0.1,0.1,0.8
2736,Mega Man X5,PS,2000,Platform,Capcom,0.3,0.2,0.2,0.1,0.8
2746,Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.2,0.1,0.1,0.8
2748,Street Fighter EX Plus Alpha,PS,1997,Fighting,Virgin Interactive,0.3,0.2,0.2,0.1,0.8
2752,Tales of Vesperia,X360,2008,Role-Playing,Atari,0.3,0.2,0.2,0.1,0.8
2756,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.2,0.2,0.3,0.1,0.8
2764,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.2,0.2,0.1,0.7
2767,Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.2,0.2,0.1,0.7
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.3,0.3,0.1,0.1,0.7
2791,Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.1,0.2,0.1,0.7
2794,Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.3,0.2,0.2,0.1,0.7
